htid,series_id,year,rights,title
uva.x002701656,WWW,1962,ic,Who's who in the West.
rul.39030032747851,WWW,1962,ic,Who's who in the West.
mdp.39015068969750,WWW,1964,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969743,WWW,1966,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969735,WWW,1968,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969727,WWW,1970,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969669,WWW,1971,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969685,WWW,1973,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969677,WWW,1975,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969693,WWW,1979,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969701,WWW,1981,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969719,WWW,1983,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969636,WWW,1985,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969644,WWW,1986,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969651,WWW,1988,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969628,WWW,1990,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969610,WWW,1993,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015016319850,WWW,1995,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015038901941,WWW,1999,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015046782457,WWW,2001,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015046804277,WWW,2002,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015046422922,WWW,2002,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015054023430,WWW,2003,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015054037034,WWW,2004,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015057971593,WWW,2005,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015073871918,WWW,2008,ic,Who's who in the western fiction of Zane Grey / John Donahue.
